date,vwap,volume,open,high,low,close
2018-01-02 09:15:00,83429.46089676747,4795.0,83360.0,83502.0,83360.0,83500.0
2018-01-02 09:20:00,83654.45519203413,703.0,83689.0,83749.0,83600.0,83600.0
2018-01-02 09:25:00,83944.92397043295,947.0,83899.0,84000.0,83899.0,84000.0
2018-01-02 09:30:00,84035.20541401274,1256.0,84101.0,84101.0,83978.0,83978.0
2018-01-02 09:35:00,83754.99274611399,965.0,83922.0,83922.0,83269.0,83489.0
2018-01-02 09:40:00,83686.17045454546,176.0,83780.0,83780.0,83564.0,83564.0
2018-01-02 09:45:00,83547.87118644068,295.0,83553.0,83599.0,83460.0,83584.0
2018-01-02 09:50:00,83586.37105751391,539.0,83584.0,83597.0,83568.0,83597.0
2018-01-02 09:55:00,83526.95351609058,839.0,83584.0,83584.0,83441.0,83471.0
2018-01-02 10:00:00,83455.09468438539,602.0,83497.0,83524.0,83254.0,83299.0
2018-01-02 10:05:00,83680.4191021392,9957.0,83631.0,83881.0,83600.0,83801.0
2018-01-02 10:10:00,83757.81521739131,1380.0,83758.0,83864.0,83678.0,83864.0
2018-01-02 10:15:00,84009.3723922792,5129.0,83867.0,84172.0,83867.0,84065.0
2018-01-02 10:20:00,84122.53163064833,2545.0,84199.0,84211.0,84046.0,84109.0
2018-01-02 10:25:00,84021.24310776942,399.0,84026.0,84031.0,83975.0,84031.0
2018-01-02 10:30:00,83789.606271777,574.0,83910.0,83910.0,83665.0,83685.0
2018-01-02 10:35:00,83621.51395969896,4119.0,83650.0,83674.0,83550.0,83625.0
2018-01-02 10:40:00,83640.7371852518,4448.0,83639.0,83660.0,83548.0,83658.0
2018-01-02 10:45:00,83640.7474048443,867.0,83608.0,83682.0,83608.0,83650.0
2018-01-02 10:50:00,83451.14392935982,2265.0,83571.0,83571.0,83411.0,83412.0
2018-01-02 10:55:00,83295.1052631579,1634.0,83470.0,83470.0,83224.0,83244.0
2018-01-02 11:00:00,83277.72924815297,4602.0,83197.0,83407.0,83197.0,83320.0
2018-01-02 11:05:00,83365.77688844422,1999.0,83363.0,83395.0,83333.0,83341.0
2018-01-02 11:10:00,83369.29710144928,1932.0,83312.0,83429.0,83312.0,83429.0
2018-01-02 11:15:00,83368.87471395881,1748.0,83308.0,83381.0,83308.0,83379.0
2018-01-02 11:20:00,83417.41703703704,1350.0,83430.0,83430.0,83366.0,83366.0
2018-01-02 11:25:00,83307.77314814815,432.0,83355.0,83355.0,83301.0,83341.0
2018-01-02 11:30:00,83383.76171485543,1003.0,83382.0,83388.0,83381.0,83388.0
2018-01-02 11:35:00,83364.10030527692,2293.0,83379.0,83382.0,83343.0,83367.0
2018-01-02 11:40:00,83360.11819021238,1083.0,83391.0,83391.0,83350.0,83350.0
2018-01-02 11:45:00,83381.99497126437,1392.0,83349.0,83415.0,83349.0,83415.0
2018-01-02 11:50:00,,,,,,
2018-01-02 11:55:00,83449.9926953981,1369.0,83454.0,83483.0,83407.0,83452.0
2018-01-02 12:00:00,83460.37301587302,3150.0,83442.0,83483.0,83440.0,83478.0
2018-01-02 12:05:00,83387.67201946472,2055.0,83450.0,83450.0,83339.0,83422.0
2018-01-02 12:10:00,83374.47622377622,2860.0,83422.0,83469.0,83313.0,83367.0
2018-01-02 12:15:00,83451.91089811857,2817.0,83388.0,83541.0,83388.0,83540.0
2018-01-02 12:20:00,83481.53047263682,4824.0,83475.0,83520.0,83410.0,83503.0
2018-01-02 12:25:00,83497.01162790698,2580.0,83504.0,83537.0,83457.0,83521.0
2018-01-02 12:30:00,83483.71416122005,2295.0,83498.0,83561.0,83453.0,83455.0
2018-01-02 12:35:00,83501.6161904762,2100.0,83461.0,83562.0,83461.0,83561.0
