date,vwap,volume,open,high,low,close
2018-01-02 09:15:00,3106.0645540554906,9407.0,3105.78,3106.58,3105.78,3106.58
2018-01-02 09:20:00,3108.2547177404185,26589.0,3106.58,3109.81,3106.58,3109.01
2018-01-02 09:25:00,3116.262514394424,59398.0,3113.04,3122.73,3113.04,3118.69
2018-01-02 09:30:00,3120.234891535517,7053.0,3121.12,3121.12,3118.69,3118.69
2018-01-02 09:35:00,3119.2315789473682,54017.0,3118.69,3123.54,3112.23,3117.08
2018-01-02 09:40:00,3103.8266416638257,5866.0,3108.2,3108.2,3099.32,3099.32
2018-01-02 09:45:00,3105.33006739049,8013.0,3104.16,3105.78,3104.16,3104.97
2018-01-02 09:50:00,3101.593130386943,10906.0,3103.35,3104.16,3100.13,3101.74
2018-01-02 09:55:00,3103.44265496751,46784.0,3101.74,3105.78,3101.74,3105.78
2018-01-02 10:00:00,3111.10212687217,22968.0,3108.2,3118.69,3108.2,3113.04
2018-01-02 10:05:00,3118.6009208353635,147768.0,3110.62,3129.19,3107.39,3108.2
2018-01-02 10:10:00,3111.892325124963,103431.0,3108.2,3118.69,3108.2,3108.2
2018-01-02 10:15:00,3116.8000867728674,100377.0,3112.23,3121.12,3110.62,3117.89
2018-01-02 10:20:00,3117.365681610645,45994.0,3117.08,3120.31,3114.66,3115.46
2018-01-02 10:25:00,3118.6243429492347,62050.0,3118.69,3119.5,3116.27,3119.5
2018-01-02 10:30:00,3122.7827407475593,32586.0,3122.73,3123.54,3120.31,3120.31
2018-01-02 10:35:00,3117.4893191140277,2438.0,3117.89,3117.89,3117.08,3117.08
2018-01-02 10:40:00,3115.135646894176,46445.0,3114.66,3115.46,3113.85,3115.46
2018-01-02 10:45:00,3111.0192097776835,56946.0,3113.85,3113.85,3108.2,3108.2
2018-01-02 10:50:00,3108.262542170082,34266.0,3108.2,3109.81,3106.58,3106.58
2018-01-02 10:55:00,3102.477415982806,10236.0,3106.58,3106.58,3101.74,3101.74
2018-01-02 11:00:00,3100.733953428924,43031.0,3100.13,3104.16,3100.13,3102.55
2018-01-02 11:05:00,3099.851417207697,34194.0,3100.93,3100.93,3096.9,3096.9
2018-01-02 11:10:00,3091.007284975639,20114.0,3096.9,3096.9,3088.02,3090.44
2018-01-02 11:15:00,3087.0412401975022,10329.0,3087.21,3087.21,3085.59,3085.59
2018-01-02 11:20:00,3085.812460139676,30356.0,3084.79,3089.63,3084.79,3087.21
2018-01-02 11:25:00,3084.1202512474056,22647.0,3085.59,3085.59,3081.56,3081.56
2018-01-02 11:30:00,3082.907817547968,37577.0,3084.79,3084.79,3082.36,3082.36
2018-01-02 11:35:00,3081.7653724515167,10055.0,3083.98,3083.98,3079.94,3079.94
2018-01-02 11:40:00,3079.0143954762734,8577.0,3079.94,3079.94,3078.33,3078.33
2018-01-02 11:45:00,3078.3991351769982,61978.0,3078.33,3079.94,3076.71,3077.52
2018-01-02 11:50:00,3079.5345076619633,6591.0,3078.33,3079.94,3078.33,3079.94
2018-01-02 11:55:00,3079.8804737116084,38420.0,3080.75,3081.56,3078.33,3080.75
2018-01-02 12:00:00,3077.5512846457145,34492.0,3078.33,3078.33,3075.91,3075.91
2018-01-02 12:05:00,3077.6586326458732,76659.0,3077.52,3079.94,3075.91,3079.94
2018-01-02 12:10:00,3075.6573689019415,30645.0,3077.52,3077.52,3073.48,3075.91
2018-01-02 12:15:00,3076.266142385158,31478.0,3075.91,3079.94,3073.48,3077.52
2018-01-02 12:20:00,3076.4568073069822,40126.0,3073.48,3079.94,3073.48,3079.94
2018-01-02 12:25:00,3080.0814717916924,16130.0,3079.94,3083.98,3078.33,3079.94
2018-01-02 12:30:00,3082.0095903426795,57780.0,3079.94,3085.59,3079.94,3083.98
2018-01-02 12:35:00,3082.9757079825426,41929.0,3081.56,3085.59,3081.56,3083.98
2018-01-02 12:40:00,3080.8574138377303,50225.0,3081.56,3083.17,3079.13,3083.17
2018-01-02 12:45:00,3083.170000000001,7474.0,3083.17,3083.17,3083.17,3083.17
2018-01-02 12:50:00,3082.2969123212793,28536.0,3082.36,3083.17,3081.56,3082.36
2018-01-02 12:55:00,3084.899684013968,82472.0,3082.36,3088.02,3081.56,3087.21
2018-01-02 13:00:00,3087.4009021816887,22368.0,3085.59,3091.24,3084.79,3091.24
2018-01-02 13:05:00,3091.2400000000002,7547.0,3091.24,3091.24,3091.24,3091.24
2018-01-02 13:10:00,3090.192623599955,17678.0,3088.82,3091.24,3088.82,3091.24
2018-01-02 13:15:00,3089.154353586414,30267.0,3088.82,3091.24,3087.21,3090.44
2018-01-02 13:20:00,3088.0688803499365,41379.0,3088.82,3088.82,3087.21,3088.02
2018-01-02 13:25:00,3088.686073335011,71562.0,3087.21,3092.05,3085.59,3091.24
2018-01-02 13:30:00,3088.897930896561,32502.0,3089.63,3092.05,3087.21,3091.24
2018-01-02 13:35:00,3089.145157927493,19281.0,3088.82,3092.05,3087.21,3090.44
2018-01-02 13:40:00,3090.3251741893077,27384.0,3089.63,3093.67,3088.02,3093.67
2018-01-02 13:45:00,3092.5449632191135,15905.0,3091.24,3093.67,3091.24,3093.67
2018-01-02 13:50:00,3092.4638121678436,12607.0,3091.24,3094.47,3091.24,3094.47
2018-01-02 13:55:00,,,,,,
2018-01-02 14:00:00,3094.5212603581945,119712.0,3096.09,3097.7,3090.44,3090.44
2018-01-02 14:05:00,3093.645229061554,4955.0,3090.44,3093.67,3090.44,3093.67
2018-01-02 14:10:00,3096.9923176719903,38694.0,3094.47,3100.13,3094.47,3096.9
2018-01-02 14:15:00,3095.18105022831,25404.0,3096.09,3096.09,3092.86,3094.47
2018-01-02 14:20:00,3093.1355729507036,35195.0,3092.86,3095.28,3092.05,3095.28
2018-01-02 14:25:00,,,,,,
2018-01-02 14:30:00,3092.5655233507514,12248.0,3092.05,3095.28,3091.24,3092.05
2018-01-02 14:35:00,3095.5120398106105,10349.0,3095.28,3097.7,3095.28,3097.7
2018-01-02 14:40:00,3101.145116254603,9505.0,3100.13,3102.55,3100.13,3102.55
